sample,host_elapsed_s,mono_ns,phase,door_deg,lip_height_cm,shoulder_deg,shoulder_load_raw,elbow_load_raw,wrist_load_raw,arm_target_error_deg,torque_command,target_door_deg,roll_deg,target_roll_deg,outlet_slope_deg,q_0_deg,q_1_deg,q_2_deg,q_3_deg,q_4_deg,q_5_deg
0,0.026324335,17762106790271,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
1,0.048196785,17762128662721,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
2,0.063219599,17762143685535,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
3,0.090218195,17762170684131,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
4,0.10725736,17762187723296,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
5,0.128960578,17762209426514,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
6,0.145587501,17762226053437,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
7,0.162022238,17762242488174,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
8,0.181766065,17762262232001,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
9,0.20843881,17762288904746,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
10,0.225084662,17762305550598,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
11,0.246825971,17762327291907,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
12,0.262496898,17762342962834,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
13,0.289369374,17762369835310,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
14,0.306172648,17762386638584,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
15,0.327946552,17762408412488,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
16,0.344398116,17762424864052,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
17,0.360985011,17762441450947,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
18,0.380686103,17762461152039,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
19,0.410253094,17762490719030,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
20,0.423811324,17762504277260,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
21,0.445763407,17762526229343,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
22,0.461375587,17762541841523,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
23,0.48813849,17762568604426,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
24,0.504826922,17762585292858,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
25,0.526800132,17762607266068,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
26,0.543422963,17762623888899,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
27,0.559966727,17762640432663,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
28,0.579761402,17762660227338,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
29,0.606357448,17762686823384,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
30,0.622944771,17762703410707,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
31,0.64491116,17762725377096,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
32,0.661303253,17762741769189,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
33,0.679162093,17762759628029,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
34,0.705310581,17762785776517,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
35,0.721802175,17762802268111,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
36,0.743816067,17762824282003,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
37,0.760299496,17762840765432,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
38,0.776936083,17762857402019,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
39,0.796668561,17762877134497,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
40,0.823166686,17762903632622,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
41,0.839716015,17762920181951,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
42,0.861646113,17762942112049,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
43,0.877603856,17762958069792,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
44,0.904076823,17762984542759,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
45,0.920639235,17763001105171,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
46,0.942701647,17763023167583,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
47,0.95929187,17763039757806,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
48,0.975794504,17763056260440,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
49,0.995654764,17763076120700,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
50,1.022381406,17763102847342,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
51,1.038794579,17763119260515,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
52,1.060767557,17763141233493,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
53,1.076543078,17763157009014,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
54,1.103512066,17763183978002,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
55,1.11992284,17763200388776,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
56,1.141839568,17763222305504,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
57,1.158377129,17763238843065,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
58,1.174997502,17763255463438,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
59,1.194691765,17763275157701,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
60,1.224093467,17763304559403,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
61,1.237876436,17763318342372,preflight,29.267578137827087,28.231547119281664,54.49218747197678,204.0,9.0,29.0,0.0,-1.0,29.267578137827087,89.64843752043431,89.64843752043431,22.529026745054495,89.12109375481054,54.49218747197678,87.62695315238828,22.851562508579086,89.64843752043431,29.267578137827087
